site_name,median_brightness_mag_arcsec2,bortle_sky_level,median_linear_scale_flux_ratio,x_brighter_than_darkest_night_sky
Portland SE,18.44,7,10.57,22.98
Westmoreland Park,18.48,7,10.19,22.15
Hoyt Arboretum,18.6,6,9.12,19.83
Portland SW,18.72,6,8.17,17.76
PCC Rock Creek,18.79,6,7.66,16.65
Powell Butte Park,18.8,6,7.59,16.5
Sandy River Delta,19.17,6,5.4,11.74
Jenkins Estate,19.2,6,5.25,11.41
Hopservatory,19.58,5,3.7,8.04
Scholls,19.85,5,2.88,6.26
Mt Pisgah Arboretum,20.04,5,2.42,5.26
Awbrey Chimney,20.14,5,2.21,4.8
Junction City,20.24,5,2.01,4.37
Awbrey Butte,20.27,5,1.96,4.26
Ashland Middle School,20.45,4,1.66,3.61
Rooster Rock State Park,20.56,4,1.5,3.26
Columbia Gorge Museum,20.66,4,1.37,2.98
Madras Juniper Hills,20.71,4,1.31,2.85
Tetherow,20.75,4,1.26,2.74
Talent,20.79,4,1.21,2.63
Discovery Center,20.81,4,1.19,2.59
Redmond West,20.82,4,1.18,2.57
High Desert Museum,20.91,4,1.09,2.37
Sisters Town East,20.96,4,1.04,2.26
Deschutes River SRA,20.98,4,1.02,2.22
Beacon Rock State Park,21.14,4,0.88,1.91
Stub Stewart State Park,21.17,4,0.86,1.87
Hood River,21.23,4,0.81,1.76
Cove,21.26,4,0.79,1.72
Crooked River Ranch,21.27,4,0.78,1.7
Provolt Recreation Site,21.27,4,0.78,1.7
Lowell,21.29,4,0.77,1.67
Eagle Crest,21.31,3,0.75,1.63
Blue River,21.33,3,0.74,1.61
Wishram AQI,21.35,3,0.73,1.59
Viento State Park,21.36,3,0.72,1.57
Sisters High School,21.37,3,0.71,1.54
Mosier Ranch,21.42,3,0.68,1.48
Grizzly Mountain,21.43,3,0.67,1.46
Halfway,21.45,3,0.66,1.43
Lava Butte,21.47,3,0.65,1.41
Neskowin,21.46,3,0.65,1.41
Oregon Observatory Sunriver,21.46,3,0.65,1.41
Bandon,21.5,3,0.63,1.37
Rimrock Ranch,21.51,3,0.63,1.37
Humbug Mtn State Park,21.53,3,0.61,1.33
Hyatt Lake,21.55,3,0.6,1.3
Lava Cast Forest,21.56,3,0.6,1.3
Manzanita,21.58,3,0.59,1.28
Juniper Mountain Road,21.6,2,0.58,1.26
Paulina Lake Visitor Center,21.6,2,0.58,1.26
Black Butte Ranch,21.61,2,0.57,1.24
Shooting Star Ranch,21.61,2,0.57,1.24
Antelope,21.62,2,0.56,1.22
Arizona Beach State Park,21.62,2,0.56,1.22
Cape Blanco State Park,21.66,2,0.54,1.17
Oregon Caves National Monument,21.67,2,0.54,1.17
Prineville Reservoir State Park,21.66,2,0.54,1.17
Wallowa Lake State Park,21.67,2,0.54,1.17
Jordan Craters,21.69,2,0.53,1.15
Pine Mountain Observatory,21.68,2,0.53,1.15
Raven Ridge,21.68,2,0.53,1.15
Camas Sno Park,21.72,2,0.52,1.13
Camp Hancock,21.7,2,0.52,1.13
Cottonwood Canyon State Park,21.7,2,0.52,1.13
Malheur Field Station,21.7,2,0.52,1.13
Summer Lake,21.7,2,0.52,1.13
Alvord Desert,21.74,2,0.51,1.11
Hart Mountain Camp,21.76,1,0.5,1.09
Crater Lake National Park,21.8,1,0.48,1.04
Summit Prairie,21.8,1,0.48,1.04
Hart Mountain,21.84,1,0.46,1

