site_name,percent_clear_night_samples_all_months
Lowell,16.5
Manzanita,17.6
Junction City,20.3
Mt Pisgah Arboretum,20.5
Portland SW,20.6
Westmoreland Park,20.9
Neskowin,22.2
PCC Rock Creek,22.9
Viento State Park,23
Sisters High School,23.3
Bandon,23.4
Portland SE,23.5
Powell Butte Park,23.7
Madras Juniper Hills,23.9
Stub Stewart State Park,24.4
Mosier Ranch,25.1
Rooster Rock State Park,25.5
Cape Blanco State Park,26.1
Tetherow,26.7
Hoyt Arboretum,27.2
Sisters Town East,28
Oregon Observatory Sunriver,28.2
Hopservatory,28.3
Beacon Rock State Park,28.4
Arizona Beach SRA,28.9
Sandy River Delta,29
Scholls,29
Awbrey Chimney,29.4
Jenkins Estate,29.9
Awbrey Butte,30
Talent,30.2
Grizzly Mountain,30.3
High Desert Museum,31.3
Ashland Middle School,31.4
Lava Butte,31.4
Deschutes River SRA,31.6
Redmond West,31.7
Hood River,31.8
Cove,32
Crooked River Ranch,32
Wallowa Lake State Park,32.2
Humbug Mtn State Park,32.4
Eagle Crest,32.5
Rimrock Ranch,32.7
Lava Cast Forest,33.8
Discovery Center,33.9
Columbia Gorge Museum,34.9
Prineville Reservoir State Park,35.3
Wishram AQI,36
Hart Mountain Camp,36.1
Black Butte Ranch,36.3
Provolt Recreation Site,36.3
Antelope,36.5
Halfway,36.5
Camp Hancock,37.1
Blue River,37.7
Cottonwood Canyon State Park,38.3
Shooting Star Ranch,38.9
Pine Mountain Observatory,39.4
Paulina Lake Visitor Center,40
Juniper Mountain Road,40.7
Jordan Craters,41.3
Hyatt Lake,41.8
Raven Ridge,42.1
Summer Lake,42.4
Oregon Caves National Monument,42.7
Malheur Field Station,43.2
Camas Sno Park,43.7
Alvord Desert,44
Hart Mountain,44.8
Crater Lake National Park,44.9
Summit Prairie,46.8
