Rate_of_Change_vs_Prineville_Reservoir_State_Park,red,green,blue,transparency
-5.0,0,0,0,255
-4.0,32,32,32,255
-3.0,108,108,108,255
-2.0,20,20,109,255
-1.0,0,0,249,255
0.0,62,69,240,255
1.0,59,129,53,255
2.0,184,183,46,255
3.0,252,223,42,255
5.0,252,83,6,255
7.0,217,7,93,255
10.0,208,54,162,255
15.0,225,114,190,255
20.0,238,169,216,255
25.0,243,193,227,255
30.0,243,193,227,255
35.0,243,193,227,255
40.0,243,193,227,255
45.0,243,193,227,255
50.0,243,193,227,255
55.0,243,193,227,255
60.0,243,227,227,255
