site_name,latitude,longitude
Alvord Desert,42.479,-118.529
Antelope,44.914,-120.724
Arizona Beach State Park,42.614,-124.397
Ashland Middle School,42.195,-122.687
Awbrey Butte,44.083,-121.327
Awbrey Chimney,44.083,-121.327
Bandon,43.016,-124.41
Beacon Rock State Park,45.63,-122.032
Black Butte Ranch,44.371,-121.663
Blue River,44.154,-122.34
Camas Sno Park,42.227,-120.232
Camp Hancock,44.92,-120.425
Cape Blanco State Park,42.843,-124.537
Columbia Gorge Museum,45.685,-121.899
Cottonwood Canyon State Park,45.486,-120.452
Cove,45.3,-117.81
Crater Lake National Park,42.887,-122.137
Crooked River Ranch,44.411,-121.268
Deschutes River SRA,45.631,-120.908
Discovery Center,45.656,-121.212
Eagle Crest,44.275,-121.293
Grizzly Mountain,44.415,-120.966
Halfway,44.877,-117.116
Hart Mountain,42.5,-119.686
Hart Mountain Camp,42.542,-119.775
High Desert Museum,43.966,-121.341
Hood River,45.669,-121.569
Hopservatory,44.055,-121.261
Hoyt Arboretum,45.514,-122.715
Humbug Mtn State Park,42.688,-124.443
Hyatt Lake,42.168,-122.462
Jenkins Estate,45.274,-122.532
Jordan Craters,43.157,-117.388
Junction City,44.217,-123.224
Juniper Mountain Road,42.744,-117.043
Lava Butte,43.918,-121.356
Lava Cast Forest,43.818,-121.291
Lowell,43.925,-122.768
Madras Juniper Hills,44.64,-121.101
Malheur Field Station,43.246,-118.894
Manzanita,45.71,-123.93
Mosier Ranch,45.67,-121.342
Mt Pisgah Arboretum,44.007,-122.98
Neskowin,45.136,-123.972
Oregon Caves National Monument,42.108,-123.404
Oregon Observatory Sunriver,43.885,-121.448
Paulina Lake Visitor Center,43.71,-121.278
PCC Rock Creek,45.565,-122.86
Pine Mountain Observatory,43.792,-120.941
Portland SE,45.492,-122.621
Portland SW,45.471,-122.713
Powell Butte Park,45.49,-122.502
Prineville Reservoir State Park,44.138,-120.73
Provolt Recreation Site,42.289,-123.231
Raven Ridge,42.765,-118.952
Redmond West,44.289,-121.24
Rimrock Ranch,44.39,-121.411
Rooster Rock State Park,45.548,-122.229
Sandy River Delta,45.547,-122.374
Scholls,45.406,-122.945
Shooting Star Ranch,45.46,-120.138
Sisters High School,44.297,-121.577
Sisters Town East,44.292,-121.54
Stub Stewart State Park,45.747,-123.183
Summer Lake,42.806,-120.792
Summit Prairie,42.2,-120.22
Talent,42.22,-122.792
Tetherow,44.032,-121.365
Viento State Park,45.699,-121.669
Wallowa Lake State Park,45.281,-117.212
Westmoreland Park,45.471,-122.642
Wishram AQI,45.664,-121.001


