Name,Install Number
Awbrey Butte,1
Pine Mountain Observatory,2
Prineville Reservoir State Park,3
Hopservatory,4
Oregon Observatory,5
Mosier,6
Madras,7
Black Butte Meadow,8
Tetherow,9
Rimrock Ranch,10
Sisters High School,11
Camp Hancock,13
Alvord Desert,14
Malheur Field Station,15
Raven Ridge,16
Cottonwood Canyon State Park,17
Stub Stewart State Park,18
Hart Mountain,19
Playa Summer Lake,20
Shooting Star ranch,21
Summit Prairie,22
Talent,23
Halfway,24
Wallowa Lake State Park,25
Sisters East,27
Crooked River Ranch,28
Oregon Caves National Monument,29
Grizzly Mountain,30
Awbrey Butte Chimney,31
Bandon,32
Lowell NE,33
Mt Pisgah Arboretum,34
Junction City,35
Portland SW,36
Portland SE,37
Crater Lake National Park,38
Neskowin,39
Humbug Mtn State Park,40
Arizona Beach State Park,41
Cape Blanco State Park,42
Camas Sno Park,43
High Desert Museum,44
Lava Butte,45
Hart Mountain Camp,46
Manzanita,47
Jordon Craters,48
Antelope,49
Eugene Downtown,50
Paulina Lake Visitor Center,51
Lava Cast Forest,52
Westmoreland Park,53
Powell Butte Park,54
Redmond West,55
Hoyt Arboretum,56
WCMGA Education Garden at PCC Rock Creek,57
WCMGA Learning Garden at Jenkins Estate,58
Hyatt Lake,59
Eagle Crest,60
Deschutes River SRA,61
Beacon Rock State Park,62
Hines Middle School,63
Rooster Rock State Park,64
Viento State Park,65
