Name,Install Number
Awbrey Butte,1
Prineville Reservoir State Park,2
Pine Mountain Observatory,3
Oregon Observatory Sunriver,4
Hopservatory,5
Black Butte Ranch,6
Mosier Ranch,7
Madras Juniper Hills,9
Tetherow,10
Rimrock Ranch,12
Sisters High School,13
Camp Hancock,14
Alvord Desert,15
Malheur Field Station,16
Raven Ridge,17
Cottonwood Canyon State Park,18
Stub Stewart State Park,19
Hart Mountain,20
Summit Prairie,21
Summer Lake,22
Shooting Star ranch ,23
Awbrey Chimney,24
Talent,25
Halfway,26
Wallowa Lake State Park,27
Sisters Town East,28
Crooked River Ranch,29
Oregon Caves National Monument,30
Grizzly Mountain,31
Lowell,32
Bandon,33
Mt Pisgah Arboretum,34
Junction City,35
Portland SW,36
Portland SE,37
Crater Lake National Park,38
Neskowin,39
Arizona Beach State Park,40
Cape Blanco State Park,41
Humbug Mtn State Park,42
Jordan Craters,43
Camas Sno Park,44
High Desert Museum,45
Scholls,46
Lava Butte,47
Hart Mountain Camp,48
Manzanita,49
Antelope,50
Paulina Lake Visitor Center,52
Lava Cast Forest,53
Westmoreland Park,54
Redmond West,55
Hoyt Arboretum,56
Powell Butte Park,57
PCC Rock Creek,58
Jenkins Estate,59
Hyatt Lake,60
Eagle Crest,62
Deschutes River SRA,63
Beacon Rock State Park,64
Rooster Rock State Park,65
Viento State Park,66
Cove,67
Blue River,68
Provolt Recreation Site,69
Sandy River Delta,70
Juniper Mountain Road,71
Hood River,72
Wishram AQI,73
Discovery Center,74
Ashland Middle School,75
Columbia Gorge Museum,76
